symbol,name,series
CIEINDIA.NS,CIE Automotive India Limited,EQ
CIFL.NS,Capital India Finance Limited,EQ
CINELINE.NS,Cineline India Limited,EQ
CINEVISTA.NS,Cinevista Limited,EQ
CIPLA.NS,Cipla Limited,EQ
CLEAN.NS,Clean Science and Technology Limited,EQ
CLEANMAX.NS,Clean Max Enviro Energy Solutions Limited,EQ
CLEDUCATE.NS,CL Educate Limited,BE
CLSEL.NS,Chaman Lal Setia Exports Limited,EQ
CMPDI.NS,Central Mine Planning & Design Institute Limited,EQ
CMRGREEN.NS,CMR Green Technologies Limited,EQ
CMSINFO.NS,CMS Info Systems Limited,EQ
CNL.NS,Creative Newtech Limited,EQ
COALINDIA.NS,Coal India Limited,EQ
COASTCORP.NS,Coastal Corporation Limited,EQ
COCHINSHIP.NS,Cochin Shipyard Limited,EQ
COCKERILL.NS,John Cockerill India Limited,EQ
COFFEEDAY.NS,Coffee Day Enterprises Limited,BE
COFORGE.NS,Coforge Limited,EQ
COHANCE.NS,Cohance Lifesciences Limited,EQ
COLPAL.NS,Colgate Palmolive (India) Limited,EQ
COMFINTE.NS,Comfort Intech Limited,EQ
COMPINFO.NS,Compuage Infocom Limited,BZ
COMPUSOFT.NS,Compucom Software Limited,EQ
COMSYN.NS,Commercial Syn Bags Limited,EQ
CONCOR.NS,Container Corporation of India Limited,EQ
CONCORDBIO.NS,Concord Biotech Limited,EQ
CONFIPET.NS,Confidence Petroleum India Limited,EQ
CONSOFINVT.NS,Consolidated Finvest & Holdings Limited,EQ
CONTROLPR.NS,Control Print Limited,EQ
CORALFINAC.NS,Coral India Finance & Housing Limited,EQ
CORDELIA.NS,Waterways Leisure Tourism Limited,EQ
CORDSCABLE.NS,Cords Cable Industries Limited,BE
COROMANDEL.NS,Coromandel International Limited,EQ
CORONA.NS,CORONA Remedies Limited,EQ
COSMOFIRST.NS,COSMO FIRST LIMITED,EQ
COUNCODOS.NS,Country Condo's Limited,EQ
CPCAP.NS,CP Capital Limited,BE
CPEDU.NS,Career Point Edutech Limited,EQ
CPPLUS.NS,Aditya Infotech Limited,EQ
CRAFTSMAN.NS,Craftsman Automation Limited,EQ
CRAMC.NS,Canara Robeco Asset Management Company Limited,EQ
CREATIVEYE.NS,Creative Eye Limited,EQ
CREDITACC.NS,CREDITACCESS GRAMEEN LIMITED,EQ
CREST.NS,Crest Ventures Limited,EQ
CRISIL.NS,Crisil Limited,EQ
CRIZAC.NS,Crizac Limited,EQ
CROMPTON.NS,Crompton Greaves Consumer Electricals Limited,EQ
CROWN.NS,Crown Lifters Limited,EQ
CSBBANK.NS,CSB Bank Limited,EQ
CSLFINANCE.NS,CSL Finance Limited,EQ
CSM.NS,CSM Technologies Limited,BE
CTE.NS,Cambridge Technology Enterprises Limited,EQ
CUB.NS,City Union Bank Limited,EQ
CUBEXTUB.NS,Cubex Tubings Limited,EQ
CUMMINSIND.NS,Cummins India Limited,EQ
CUPID.NS,Cupid Limited,EQ
CURAA.NS,Cura Technologies Limited,EQ
CYBERMEDIA.NS,Cyber Media (India) Limited,BE
CYBERTECH.NS,Cybertech Systems And Software Limited,BE
CYIENT.NS,Cyient Limited,EQ
CYIENTDLM.NS,Cyient DLM Limited,EQ
DABUR.NS,Dabur India Limited,EQ
DAICHI.NS,Dai-Ichi Karkaria Limited,BE
DALBHARAT.NS,Dalmia Bharat Limited,EQ
DALMIASUG.NS,Dalmia Bharat Sugar and Industries Limited,EQ
DAMCAPITAL.NS,Dam Capital Advisors Limited,EQ
